GENESIS-Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;
Todesursachenstatistik;;;;
Deutschland;;;;
Gestorbene (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
1985;Best.Zustände mit Ursprung in der Perinatalperiode;1951;1387;3338
1985;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1558;1427;2985
1985;Angeborene Fehlbildungen des Nervensystems;241;218;459
1985;Angeborene Fehlbildungen des Kreislaufsystems;697;630;1327
1985;Symptome und abnorme klinische und Laborbefunde;8233;10305;18538
1985;Plötzlicher Kindstod;548;381;929
1985;Sonst. ungenau bezeichnete u. unbek. Todesursachen;5325;3936;9261
1985;Äußere Ursachen von Morbidität und Mortalität;29080;19405;48485
1985;Unfälle einschließlich Spätfolgen;15750;12464;28214
1985;Transportmittelunfälle;7708;3070;10778
1985;Stürze;3825;6954;10779
1985;Ertrinken und Untergehen;577;237;814
1985;Exposition gegenüber Rauch, Feuer und Flammen;398;331;729
1985;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);583;526;1109
1985;Vorsätzliche Selbstbeschädigung;11797;5774;17571
1985;Tätlicher Angriff;418;425;843
1985;Ereignis, dessen nähere Umstände unbestimmt sind;1101;742;1843
1985;Insgesamt;433749;495890;929639
1986;Bestimmte infektiöse und parasitäre Krankheiten;2975;2866;5841
1986;Tuberkulose einschließlich ihrer Folgezustände;1064;530;1594
1986;Meningokokkeninfektion;77;59;136
1986;Virushepatitis;98;97;195
1986;HIV-Krankheit;-;-;-
1986;Neubildungen;100787;103501;204288
1986;Bösartige Neubildungen (BN);97954;99881;197835
1986;BN der Lippe, der Mundhöhle und des Pharynx;2791;758;3549
1986;BN des Ösophagus;2357;687;3044
1986;BN des Magens;9681;9231;18912
1986;BN des Dickdarms;7389;11313;18702
1986;BN des Rektums, des Anus und am Rektosigmoid;4467;5096;9563
1986;BN der Leber, der Gallenwege und des Pankreas;7892;11257;19149
1986;BN der Leber und der intrahepatischen Gallengänge;2061;1666;3727
1986;BN des Pankreas;4372;5140;9512
1986;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;27784;6080;33864
1986;BN der Bronchien und der Lunge;26245;5895;32140
1986;Melanom und sonstige bösartige Neubild. der Haut;1144;1105;2249
1986;Bösartiges Melanom der Haut;916;871;1787
1986;BN der Brustdrüse;107;16861;16968
1986;BN der Genital- und Harnorgane;17701;18653;36354
1986;BN der Cervix uteri;-;2845;2845
1986;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3387;3387
1986;BN des Ovars;-;5936;5936
1986;BN der Prostata;9664;-;9664
1986;BN der Niere, ausgenommen Nierenbecken;2668;2012;4680
1986;BN der Harnblase;4207;1945;6152
1986;BN d. lymphat., blutbild. u. verwandten Gewebes;6158;6190;12348
1986;Leukämie;3076;3061;6137
1986;Gutartige Neubildungen;331;425;756
1986;Krankheiten des Blutes u. der blutbildenden Organe;910;1233;2143
1986;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6658;14178;20836
1986;Diabetes mellitus;5719;12471;18190
1986;Psychische und Verhaltensstörungen;4249;2952;7201
1986;Psychische und Verhaltensstörungen durch Alkohol;2963;884;3847
1986;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;347;145;492
1986;Krankheiten d. Nervensystems u. d. Sinnesorgane;4720;5218;9938
1986;Meningitis;174;167;341
1986;Krankheiten des Kreislaufsystems;204646;278207;482853
1986;Hypertonie (Hochdruckkrankheit);8477;18033;26510
1986;Ischämische Herzkrankheiten;86628;81302;167930
1986;Akuter oder rezidivierender Myokardinfarkt;51661;37066;88727
1986;Sonstige Formen der Herzkrankheit;35523;56912;92435
1986;Sonstige Krankheiten des Endokards;1217;2069;3286
1986;Zerebrovaskuläre Krankheiten;40862;70175;111037
1986;Schlaganfall, nicht als Blutung oder Infarkt bez.;23283;39663;62946
1986;Krankheiten der Arterien, Arteriolen und Kapillare;24280;39313;63593
1986;Krankheiten des Atmungssystems;33960;26314;60274
1986;Grippe;428;821;1249
1986;Pneumonie;9737;12056;21793
1986;Chronische Krankheiten der unteren Atemwege;20458;10123;30581
1986;Asthma;3617;2784;6401
1986;COVID-19, Virus nachgewiesen;-;-;-
1986;COVID-19, Virus nicht nachgewiesen;-;-;-
1986;Krankheiten des Verdauungssystems;21025;20013;41038
1986;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2191;2159;4350
1986;Krankheiten der Leber;11252;6302;17554
1986;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;10611;5772;16383
1986;Krankheiten der Haut und der Unterhaut;265;727;992
1986;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;780;2146;2926
1986;Chronische Polyarthritis und Arthrose;272;1054;1326
1986;Krankheiten des Urogenitalsystems;5764;6394;12158
1986;Krankheiten der Niere;4121;5726;9847
1986;Schwangerschaft, Geburt und Wochenbett;-;79;79
1986;Best.Zustände mit Ursprung in der Perinatalperiode;1963;1320;3283
1986;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1549;1397;2946
1986;Angeborene Fehlbildungen des Nervensystems;233;240;473
1986;Angeborene Fehlbildungen des Kreislaufsystems;704;548;1252
1986;Symptome und abnorme klinische und Laborbefunde;9642;11751;21393
1986;Plötzlicher Kindstod;596;425;1021
1986;Sonst. ungenau bezeichnete u. unbek. Todesursachen;6481;5169;11650
1986;Äußere Ursachen von Morbidität und Mortalität;28020;19135;47155
1986;Unfälle einschließlich Spätfolgen;15626;12583;28209
1986;Transportmittelunfälle;8011;3354;11365
1986;Stürze;3795;6977;10772
1986;Ertrinken und Untergehen;667;248;915
1986;Exposition gegenüber Rauch, Feuer und Flammen;344;315;659
1986;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);486;457;943
1986;Vorsätzliche Selbstbeschädigung;10792;5477;16269
1986;Tätlicher Angriff;432;418;850
1986;Ereignis, dessen nähere Umstände unbestimmt sind;1145;655;1800
1986;Insgesamt;427913;497431;925344
1987;Bestimmte infektiöse und parasitäre Krankheiten;3185;2675;5860
1987;Tuberkulose einschließlich ihrer Folgezustände;1068;526;1594
1987;Meningokokkeninfektion;65;50;115
1987;Virushepatitis;120;100;220
1987;HIV-Krankheit;-;-;-
1987;Neubildungen;102498;104595;207093
1987;Bösartige Neubildungen (BN);99966;101361;201327
1987;BN der Lippe, der Mundhöhle und des Pharynx;2861;781;3642
1987;BN des Ösophagus;2441;697;3138
1987;BN des Magens;9296;9137;18433
1987;BN des Dickdarms;7689;11672;19361
1987;BN des Rektums, des Anus und am Rektosigmoid;4472;4959;9431
1987;BN der Leber, der Gallenwege und des Pankreas;8221;11511;19732
1987;BN der Leber und der intrahepatischen Gallengänge;2232;1799;4031
1987;BN des Pankreas;4496;5241;9737
1987;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;28136;6367;34503
1987;BN der Bronchien und der Lunge;26535;6181;32716
1987;Melanom und sonstige bösartige Neubild. der Haut;1165;1165;2330
1987;Bösartiges Melanom der Haut;923;910;1833
1987;BN der Brustdrüse;107;17076;17183
1987;BN der Genital- und Harnorgane;18182;18641;36823
1987;BN der Cervix uteri;-;2734;2734
1987;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3236;3236
1987;BN des Ovars;-;6085;6085
1987;BN der Prostata;9882;-;9882
1987;BN der Niere, ausgenommen Nierenbecken;2833;2072;4905
1987;BN der Harnblase;4316;1979;6295
1987;BN d. lymphat., blutbild. u. verwandten Gewebes;6756;6599;13355
1987;Leukämie;3172;3081;6253
1987;Gutartige Neubildungen;321;426;747
1987;Krankheiten des Blutes u. der blutbildenden Organe;893;1277;2170
1987;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6659;13391;20050
1987;Diabetes mellitus;5645;11687;17332
1987;Psychische und Verhaltensstörungen;4557;3148;7705
1987;Psychische und Verhaltensstörungen durch Alkohol;3079;903;3982
1987;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;380;139;519
1987;Krankheiten d. Nervensystems u. d. Sinnesorgane;5209;6012;11221
1987;Meningitis;171;169;340
1987;Krankheiten des Kreislaufsystems;198620;268842;467462
1987;Hypertonie (Hochdruckkrankheit);8321;17573;25894
1987;Ischämische Herzkrankheiten;86755;81977;168732
1987;Akuter oder rezidivierender Myokardinfarkt;51263;36988;88251
1987;Sonstige Formen der Herzkrankheit;33294;53451;86745
1987;Sonstige Krankheiten des Endokards;1220;2015;3235
1987;Zerebrovaskuläre Krankheiten;39268;67576;106844
1987;Schlaganfall, nicht als Blutung oder Infarkt bez.;21994;38228;60222
1987;Krankheiten der Arterien, Arteriolen und Kapillare;22367;36386;58753
1987;Krankheiten des Atmungssystems;29507;21887;51394
1987;Grippe;121;237;358
1987;Pneumonie;7299;9185;16484
1987;Chronische Krankheiten der unteren Atemwege;18968;9552;28520
1987;Asthma;3649;2672;6321
1987;COVID-19, Virus nachgewiesen;-;-;-
1987;COVID-19, Virus nicht nachgewiesen;-;-;-
1987;Krankheiten des Verdauungssystems;20771;19646;40417
1987;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2181;2101;4282
1987;Krankheiten der Leber;11320;6483;17803
1987;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;10682;5973;16655
1987;Krankheiten der Haut und der Unterhaut;238;693;931
1987;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;886;2467;3353
1987;Chronische Polyarthritis und Arthrose;279;1097;1376
1987;Krankheiten des Urogenitalsystems;5373;6000;11373
1987;Krankheiten der Niere;3882;5273;9155
1987;Schwangerschaft, Geburt und Wochenbett;-;84;84
1987;Best.Zustände mit Ursprung in der Perinatalperiode;1917;1356;3273
1987;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1561;1355;2916
1987;Angeborene Fehlbildungen des Nervensystems;219;238;457
1987;Angeborene Fehlbildungen des Kreislaufsystems;705;569;1274
1987;Symptome und abnorme klinische und Laborbefunde;9247;10712;19959
1987;Plötzlicher Kindstod;632;422;1054
1987;Sonst. ungenau bezeichnete u. unbek. Todesursachen;6390;4862;11252
1987;Äußere Ursachen von Morbidität und Mortalität;27579;18427;46006
1987;Unfälle einschließlich Spätfolgen;14801;11839;26640
1987;Transportmittelunfälle;7287;2885;10172
1987;Stürze;3838;6875;10713
1987;Ertrinken und Untergehen;571;216;787
1987;Exposition gegenüber Rauch, Feuer und Flammen;408;323;731
1987;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);484;461;945
1987;Vorsätzliche Selbstbeschädigung;11124;5501;16625
1987;Tätlicher Angriff;414;413;827
1987;Ereignis, dessen nähere Umstände unbestimmt sind;1181;665;1846
1987;Insgesamt;418700;482567;901267
1988;Bestimmte infektiöse und parasitäre Krankheiten;3249;2806;6055
1988;Tuberkulose einschließlich ihrer Folgezustände;973;480;1453
1988;Meningokokkeninfektion;61;50;111
1988;Virushepatitis;142;103;245
1988;HIV-Krankheit;-;-;-
1988;Neubildungen;104262;105630;209892
1988;Bösartige Neubildungen (BN);101725;102323;204048
1988;BN der Lippe, der Mundhöhle und des Pharynx;3156;802;3958
1988;BN des Ösophagus;2569;800;3369
1988;BN des Magens;9279;8843;18122
1988;BN des Dickdarms;7855;11555;19410
1988;BN des Rektums, des Anus und am Rektosigmoid;4484;4992;9476
1988;BN der Leber, der Gallenwege und des Pankreas;8300;11687;19987
1988;BN der Leber und der intrahepatischen Gallengänge;2299;1821;4120
1988;BN des Pankreas;4513;5365;9878
1988;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;28637;6420;35057
1988;BN der Bronchien und der Lunge;27020;6234;33254
1988;Melanom und sonstige bösartige Neubild. der Haut;1130;1212;2342
1988;Bösartiges Melanom der Haut;906;955;1861
1988;BN der Brustdrüse;110;17283;17393
1988;BN der Genital- und Harnorgane;18404;18544;36948
1988;BN der Cervix uteri;-;2644;2644
1988;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3329;3329
1988;BN des Ovars;-;6177;6177
1988;BN der Prostata;10343;-;10343
1988;BN der Niere, ausgenommen Nierenbecken;2866;2071;4937
1988;BN der Harnblase;4177;1960;6137
1988;BN d. lymphat., blutbild. u. verwandten Gewebes;6960;7200;14160
1988;Leukämie;3193;3224;6417
1988;Gutartige Neubildungen;304;420;724
1988;Krankheiten des Blutes u. der blutbildenden Organe;911;1260;2171
1988;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6577;13255;19832
1988;Diabetes mellitus;5577;11596;17173
1988;Psychische und Verhaltensstörungen;5137;3481;8618
1988;Psychische und Verhaltensstörungen durch Alkohol;3459;966;4425
1988;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;555;174;729
1988;Krankheiten d. Nervensystems u. d. Sinnesorgane;5306;6197;11503
1988;Meningitis;177;143;320
1988;Krankheiten des Kreislaufsystems;196060;268432;464492
1988;Hypertonie (Hochdruckkrankheit);7830;16425;24255
1988;Ischämische Herzkrankheiten;85590;83473;169063
1988;Akuter oder rezidivierender Myokardinfarkt;49449;36528;85977
1988;Sonstige Formen der Herzkrankheit;33881;54996;88877
1988;Sonstige Krankheiten des Endokards;1420;2065;3485
1988;Zerebrovaskuläre Krankheiten;38750;67175;105925
1988;Schlaganfall, nicht als Blutung oder Infarkt bez.;21654;37678;59332
1988;Krankheiten der Arterien, Arteriolen und Kapillare;21109;34248;55357
1988;Krankheiten des Atmungssystems;28986;21840;50826
1988;Grippe;150;215;365
1988;Pneumonie;7236;9108;16344
1988;Chronische Krankheiten der unteren Atemwege;18455;9468;27923
1988;Asthma;3339;2614;5953
1988;COVID-19, Virus nachgewiesen;-;-;-
1988;COVID-19, Virus nicht nachgewiesen;-;-;-
1988;Krankheiten des Verdauungssystems;21247;20179;41426
1988;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2220;2221;4441
1988;Krankheiten der Leber;11590;6529;18119
1988;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11035;6094;17129
1988;Krankheiten der Haut und der Unterhaut;296;801;1097
1988;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;881;2350;3231
1988;Chronische Polyarthritis und Arthrose;279;1047;1326
1988;Krankheiten des Urogenitalsystems;5323;6045;11368
1988;Krankheiten der Niere;3918;5363;9281
1988;Schwangerschaft, Geburt und Wochenbett;-;92;92
1988;Best.Zustände mit Ursprung in der Perinatalperiode;1678;1138;2816
1988;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1542;1284;2826
1988;Angeborene Fehlbildungen des Nervensystems;209;205;414
1988;Angeborene Fehlbildungen des Kreislaufsystems;699;537;1236
1988;Symptome und abnorme klinische und Laborbefunde;8798;10484;19282
1988;Plötzlicher Kindstod;694;400;1094
1988;Sonst. ungenau bezeichnete u. unbek. Todesursachen;5922;4476;10398
1988;Äußere Ursachen von Morbidität und Mortalität;27163;17910;45073
1988;Unfälle einschließlich Spätfolgen;15080;11800;26880
1988;Transportmittelunfälle;7665;3106;10771
1988;Stürze;3886;6785;10671
1988;Ertrinken und Untergehen;619;246;865
1988;Exposition gegenüber Rauch, Feuer und Flammen;331;264;595
1988;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);467;416;883
1988;Vorsätzliche Selbstbeschädigung;10527;5063;15590
1988;Tätlicher Angriff;392;393;785
1988;Ereignis, dessen nähere Umstände unbestimmt sind;1135;649;1784
1988;Insgesamt;417416;483184;900600
1989;Bestimmte infektiöse und parasitäre Krankheiten;3604;3049;6653
1989;Tuberkulose einschließlich ihrer Folgezustände;924;477;1401
1989;Meningokokkeninfektion;49;49;98
1989;Virushepatitis;111;125;236
1989;HIV-Krankheit;870;76;946
1989;Neubildungen;105065;105744;210809
1989;Bösartige Neubildungen (BN);102592;102602;205194
1989;BN der Lippe, der Mundhöhle und des Pharynx;3255;844;4099
1989;BN des Ösophagus;2768;786;3554
1989;BN des Magens;8926;8502;17428
1989;BN des Dickdarms;8199;11909;20108
1989;BN des Rektums, des Anus und am Rektosigmoid;4490;5039;9529
1989;BN der Leber, der Gallenwege und des Pankreas;8385;11453;19838
1989;BN der Leber und der intrahepatischen Gallengänge;2365;1813;4178
1989;BN des Pankreas;4576;5419;9995
1989;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;28737;6803;35540
1989;BN der Bronchien und der Lunge;27088;6603;33691
1989;Melanom und sonstige bösartige Neubild. der Haut;1196;1229;2425
1989;Bösartiges Melanom der Haut;966;967;1933
1989;BN der Brustdrüse;97;17443;17540
1989;BN der Genital- und Harnorgane;18514;18368;36882
1989;BN der Cervix uteri;-;2659;2659
1989;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3152;3152
1989;BN des Ovars;-;5999;5999
1989;BN der Prostata;10307;-;10307
1989;BN der Niere, ausgenommen Nierenbecken;2738;2095;4833
1989;BN der Harnblase;4302;2008;6310
1989;BN d. lymphat., blutbild. u. verwandten Gewebes;6895;7105;14000
1989;Leukämie;3195;3179;6374
1989;Gutartige Neubildungen;301;414;715
1989;Krankheiten des Blutes u. der blutbildenden Organe;1011;1333;2344
1989;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6828;13997;20825
1989;Diabetes mellitus;5872;12439;18311
1989;Psychische und Verhaltensstörungen;5660;3695;9355
1989;Psychische und Verhaltensstörungen durch Alkohol;3742;1010;4752
1989;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;691;206;897
1989;Krankheiten d. Nervensystems u. d. Sinnesorgane;5505;6351;11856
1989;Meningitis;183;186;369
1989;Krankheiten des Kreislaufsystems;192851;268123;460974
1989;Hypertonie (Hochdruckkrankheit);7397;15535;22932
1989;Ischämische Herzkrankheiten;83885;83568;167453
1989;Akuter oder rezidivierender Myokardinfarkt;48609;36865;85474
1989;Sonstige Formen der Herzkrankheit;34239;56408;90647
1989;Sonstige Krankheiten des Endokards;1465;2261;3726
1989;Zerebrovaskuläre Krankheiten;38109;66568;104677
1989;Schlaganfall, nicht als Blutung oder Infarkt bez.;21402;37952;59354
1989;Krankheiten der Arterien, Arteriolen und Kapillare;20394;33726;54120
1989;Krankheiten des Atmungssystems;29609;22955;52564
1989;Grippe;183;317;500
1989;Pneumonie;7726;9753;17479
1989;Chronische Krankheiten der unteren Atemwege;18532;9798;28330
1989;Asthma;3289;2700;5989
1989;COVID-19, Virus nachgewiesen;-;-;-
1989;COVID-19, Virus nicht nachgewiesen;-;-;-
1989;Krankheiten des Verdauungssystems;21245;20202;41447
1989;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2179;2265;4444
1989;Krankheiten der Leber;11888;6750;18638
1989;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11367;6366;17733
1989;Krankheiten der Haut und der Unterhaut;260;742;1002
1989;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;889;2469;3358
1989;Chronische Polyarthritis und Arthrose;314;1094;1408
1989;Krankheiten des Urogenitalsystems;5317;6148;11465
1989;Krankheiten der Niere;3920;5414;9334
1989;Schwangerschaft, Geburt und Wochenbett;-;59;59
1989;Best.Zustände mit Ursprung in der Perinatalperiode;1660;1137;2797
1989;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1489;1240;2729
1989;Angeborene Fehlbildungen des Nervensystems;193;192;385
1989;Angeborene Fehlbildungen des Kreislaufsystems;684;521;1205
1989;Symptome und abnorme klinische und Laborbefunde;9471;11248;20719
1989;Plötzlicher Kindstod;677;463;1140
1989;Sonst. ungenau bezeichnete u. unbek. Todesursachen;6483;5139;11622
1989;Äußere Ursachen von Morbidität und Mortalität;26621;17835;44456
1989;Unfälle einschließlich Spätfolgen;15165;12191;27356
1989;Transportmittelunfälle;7466;3031;10497
1989;Stürze;4105;7228;11333
1989;Ertrinken und Untergehen;546;207;753
1989;Exposition gegenüber Rauch, Feuer und Flammen;429;287;716
1989;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);436;362;798
1989;Vorsätzliche Selbstbeschädigung;9922;4645;14567
1989;Tätlicher Angriff;388;357;745
1989;Ereignis, dessen nähere Umstände unbestimmt sind;1106;632;1738
1989;Insgesamt;417085;486327;903412
1990;Bestimmte infektiöse und parasitäre Krankheiten;4039;3275;7314
1990;Tuberkulose einschließlich ihrer Folgezustände;904;454;1358
1990;Meningokokkeninfektion;49;40;89
1990;Virushepatitis;121;79;200
1990;HIV-Krankheit;1157;144;1301
1990;Neubildungen;105332;105380;210712
1990;Bösartige Neubildungen (BN);102919;102229;205148
1990;BN der Lippe, der Mundhöhle und des Pharynx;3408;833;4241
1990;BN des Ösophagus;2710;745;3455
1990;BN des Magens;8819;8466;17285
1990;BN des Dickdarms;8112;11818;19930
1990;BN des Rektums, des Anus und am Rektosigmoid;4446;4806;9252
1990;BN der Leber, der Gallenwege und des Pankreas;8456;11164;19620
1990;BN der Leber und der intrahepatischen Gallengänge;2431;1791;4222
1990;BN des Pankreas;4651;5330;9981
1990;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;28950;6953;35903
1990;BN der Bronchien und der Lunge;27254;6755;34009
1990;Melanom und sonstige bösartige Neubild. der Haut;1186;1170;2356
1990;Bösartiges Melanom der Haut;958;962;1920
